Trial,CueType,FlashSide,CueValidity,probe,ISIframes,dtcolor,Resp,RespFlash,ResProbe,RT,TrialTime
1,left,left,valid,top,7,0,1,two,top,1.83563301099991,6.559147934
2,left,left,valid,top,5,100,2,one,top,1.58582753000007,6.329423003
3,neutral,left,neutral,bottom,1,255,1,two,top,3.45525377800004,7.859654319
4,neutral,right,neutral,top,1,60,4,two,bottom,5.754589248,10.364742216
5,right,right,valid,top,1,120,2,one,top,0.737893484999972,5.045779375
6,neutral,right,neutral,bottom,9,0,2,one,top,0.286200569000016,4.998652792
7,left,left,valid,top,1,0,1,two,top,1.25217077499997,6.331796646
8,neutral,left,neutral,top,1,100,1,two,top,1.66882239699999,6.14788643
9,right,right,valid,bottom,7,0,4,two,bottom,0.919047363000004,5.41606475
10,left,left,valid,bottom,5,255,1,two,top,1.03779229499992,5.346850022
